,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Pascagoula,1,US,1574194973,46,30.37,-88.56,75.99,5.82
375,Fairhope,1,US,1574194974,51,30.52,-87.9,75.2,6.93
376,Sept-Iles,90,CA,1574194883,68,50.2,-66.38,34.0,9.17
377,Sao Jose da Coroa Grande,100,BR,1574194976,73,-8.9,-35.15,78.66,11.3
378,Beloha,33,MG,1574194978,75,-25.17,45.06,76.23,4.9
379,Payo,100,ID,1574194979,96,-3.75,103.64,68.83,1.45
380,Sibolga,96,ID,1574194980,98,1.74,98.78,70.61,1.54
381,Novyy Svit,66,UA,1574194981,90,47.81,38.02,39.54,6.51
382,Padang,100,ID,1574194982,97,-0.92,100.36,68.31,2.37
383,Madinat Sittah Uktubar,0,EG,1574194983,39,29.82,31.05,62.6,3.36
384,Pierre,1,US,1574194873,57,44.37,-100.35,50.0,10.29
385,Dakar,100,SN,1574194907,88,14.69,-17.45,77.0,6.93
386,Victor Harbor,92,AU,1574194987,21,-35.55,138.62,82.99,12.75
387,Itarema,42,BR,1574194988,58,-2.92,-39.92,87.8,19.46
388,Fruitville,1,US,1574194989,27,36.62,-91.77,66.0,11.41
389,Sharjah,20,AE,1574194833,69,25.36,55.39,77.0,12.75
390,Rizhao,4,CN,1574194862,31,35.43,119.46,35.64,1.92
391,Creel,100,MX,1574194992,63,27.75,-107.63,61.9,10.02
392,Sao Mateus do Maranhao,88,BR,1574194994,55,-4.04,-44.48,86.5,3.8
393,Lysva,0,RU,1574194995,83,58.11,57.8,-0.44,5.3
394,Placido de Castro,68,BR,1574194996,92,-10.34,-67.19,80.44,3.22
395,Pangkalanbuun,98,ID,1574194997,96,-2.68,111.62,73.44,1.07
396,Bunbury,40,GB,1574194998,86,53.12,-2.65,43.0,9.17
397,Voznesenye,100,RU,1574194999,84,61.02,35.48,38.48,13.65
398,Nanortalik,100,GL,1574195001,90,60.14,-45.24,33.94,6.26
399,Sharan,58,AF,1574195002,49,33.15,68.78,35.8,1.74
400,Moose Factory,90,CA,1574195003,92,51.26,-80.61,30.2,8.05
401,Half Moon Bay,40,US,1574195004,82,37.46,-122.43,68.0,16.11
402,Coihueco,19,CL,1574195005,22,-36.63,-71.83,86.0,12.75
403,Bongandanga,15,CD,1574195006,86,1.51,21.07,74.28,2.46
404,Hasaki,100,JP,1574195007,46,35.73,140.83,51.8,8.05
405,Itatiaia,100,BR,1574195009,95,-22.5,-44.56,68.22,4.34
406,Jizan,0,SA,1574195010,69,16.89,42.56,82.4,3.36
407,Tilichiki,0,RU,1574195011,88,60.47,166.1,1.78,9.17
408,Akcaabat,40,TR,1574195012,76,41.02,39.57,57.2,5.82
409,Khowai,27,IN,1574195013,88,24.08,91.6,63.18,2.51
410,Altay,100,CN,1574195014,94,47.83,88.13,18.41,7.31
411,Kenai,90,US,1574195015,86,60.55,-151.26,34.0,21.92
412,Hami,15,CN,1574195016,31,42.84,93.51,23.59,2.46
413,Tsaratanana,100,MG,1574195018,85,-16.8,47.65,72.66,5.64
414,Marhaura,20,IN,1574195019,93,25.97,84.87,62.6,2.8
415,Lahij,83,YE,1574195020,79,13.06,44.88,79.23,9.53
416,Shenzhen,75,CN,1574195004,59,22.54,114.05,68.0,11.18
417,Somanda,76,TZ,1574195022,74,-3.37,33.95,73.08,5.57
418,Savino,100,RU,1574195023,96,56.59,41.22,36.14,9.91
419,Eenhana,0,NA,1574195024,19,-17.48,16.34,80.6,3.36
420,Ippy,0,CF,1574195026,48,6.26,21.2,75.63,1.86
421,Olinda,56,AU,1574195027,87,-37.84,145.39,54.0,3.36
422,Cabedelo,20,BR,1574195028,69,-6.97,-34.84,80.6,12.75
423,Nieuw Amsterdam,40,SR,1574195029,83,5.88,-55.08,91.4,16.26
424,Oksfjord,100,NO,1574195030,80,70.24,22.35,39.2,17.22
425,Yantal,75,RU,1574195031,91,56.85,105.25,-10.68,2.59
426,North Bend,90,US,1574195033,81,43.41,-124.22,54.0,11.41
427,Westport,90,US,1574194960,70,41.14,-73.36,48.99,9.17
428,Guhagar,5,IN,1574195035,67,17.48,73.19,81.66,5.99
429,Morgantown,90,US,1574194272,75,39.63,-79.96,44.01,2.82
430,Inhambane,40,MZ,1574195037,88,-23.87,35.38,80.6,11.41
431,Sao Joao da Barra,90,BR,1574195038,94,-21.64,-41.05,73.4,11.41
432,Yenagoa,100,NG,1574195039,93,4.92,6.26,76.73,4.38
433,Skelleftea,75,SE,1574195041,100,64.75,20.95,39.2,9.17
434,Atasu,48,KZ,1574195042,90,48.68,71.64,-2.43,11.23
435,Santa Marta,20,CO,1574194745,52,11.24,-74.21,91.4,11.41
436,Riyadh,20,SA,1574194635,82,24.63,46.72,55.4,3.36
437,Snasa,75,NO,1574195045,100,64.25,12.38,33.8,3.36
438,Ploufragan,90,FR,1574195047,87,48.49,-2.79,44.6,8.05
439,Ongandjera,67,NA,1574195048,24,-17.88,15.07,77.77,13.6
440,Arrifes,20,PT,1574195049,63,37.77,-25.7,60.8,6.93
441,Caravelas,73,BR,1574195050,83,-17.73,-39.27,74.71,7.45
442,Rawson,100,AR,1574195051,25,-43.3,-65.11,77.27,25.95
443,Enugu,20,NG,1574195052,79,6.45,7.5,86.0,4.7
444,Denizli,0,TR,1574194910,64,37.77,29.09,33.8,1.3
445,Ravensburg,75,DE,1574195055,93,47.78,9.61,39.99,2.24
446,Fonte Boa,100,BR,1574195056,96,-2.51,-66.09,77.99,2.3
447,Sur,0,OM,1574195057,73,22.57,59.53,73.24,8.08
448,Barrancabermeja,40,CO,1574195058,62,7.07,-73.85,89.6,5.82
449,Anshun,100,CN,1574195059,80,26.25,105.93,45.68,5.97
450,San Quintin,100,PH,1574195060,85,17.54,120.52,73.96,1.77
451,Shubarshi,100,KZ,1574195062,89,48.59,57.19,18.0,18.19
452,Leningradskiy,99,RU,1574195063,91,69.38,178.42,12.18,6.85
453,Ullal,40,IN,1574195064,88,12.8,74.85,80.6,2.24
454,Arona,90,IT,1574195065,100,45.76,8.56,48.2,6.93
455,Pauini,100,BR,1574195066,97,-7.71,-67.0,73.94,4.25
456,Sinnamary,94,GF,1574195067,81,5.38,-52.96,82.27,16.26
457,Oranjestad,20,AW,1574195068,62,12.52,-70.03,87.8,9.17
458,Chapais,90,CA,1574195070,63,49.78,-74.86,28.4,3.36
459,Moshny,100,UA,1574195071,86,49.52,31.74,43.68,6.67
460,Una,33,IN,1574195072,56,31.47,76.27,54.75,3.09
461,Miandrivazo,100,MG,1574195073,74,-19.53,45.46,79.03,3.29
462,Lindi,20,TZ,1574195074,78,-10.0,39.71,82.4,1.9
463,Komsomolskiy,38,RU,1574195075,85,67.55,63.78,-16.98,8.08
464,Denham Springs,1,US,1574194985,29,30.49,-90.96,80.6,5.82
465,Vilhena,40,BR,1574195077,100,-12.74,-60.15,71.6,9.17
466,Byron Bay,75,AU,1574195079,100,-28.65,153.62,73.99,3.27
467,Save,1,BJ,1574195080,72,8.04,2.49,81.09,7.05
468,Nenjiang,0,CN,1574195081,85,49.17,125.23,-4.25,2.82
469,Shashi,87,CN,1574195082,46,27.02,114.08,48.34,1.36
470,Hovd,90,NO,1574195083,96,63.83,10.7,41.0,5.08
471,Nicoya,20,CR,1574195084,49,10.15,-85.45,89.6,9.17
472,Camacha,40,PT,1574195086,77,33.08,-16.33,66.2,10.29
473,Pisco,75,PE,1574195087,30,-13.71,-76.2,71.6,8.05
474,Upata,40,VE,1574195088,76,8.02,-62.41,80.44,3.78
475,Hauterive,90,CA,1574195089,47,49.18,-68.27,33.8,2.24
476,Bria,0,CF,1574195090,56,6.54,21.99,73.38,2.39
477,Fairbanks,90,US,1574195091,84,64.84,-147.72,7.0,6.89
478,Santiago del Estero,0,AR,1574195001,27,-27.8,-64.26,97.32,12.1
479,Beyneu,95,KZ,1574195094,83,45.32,55.19,34.32,8.19
480,Zhanakorgan,33,KZ,1574195095,77,43.91,67.25,30.6,1.86
481,Sioux Lookout,90,CA,1574194936,95,50.1,-91.92,32.0,3.36
482,Rondonopolis,94,BR,1574195097,71,-16.46,-54.64,80.92,3.38
483,Ixtapa,5,MX,1574195098,66,20.71,-105.21,86.0,8.05
484,Kintampo,3,GH,1574195100,48,8.05,-1.73,81.86,4.59
485,Borogontsy,100,RU,1574195101,98,62.67,131.17,-17.27,1.99
486,Fort Nelson,20,CA,1574195102,72,58.81,-122.69,15.8,5.68
487,Corumba,40,BR,1574195103,44,-19.0,-57.65,98.6,8.05
488,Necochea,0,AR,1574195104,55,-38.55,-58.74,75.0,5.01
489,Bubaque,0,GW,1574195105,68,11.28,-15.83,83.57,10.29
490,The Valley,20,AI,1574195097,74,18.22,-63.06,84.2,10.29
491,Porto Murtinho,0,BR,1574195108,23,-21.7,-57.88,101.39,5.73
492,Eidfjord,97,NO,1574195109,86,60.47,7.07,18.0,1.07
493,Tanda,87,IN,1574195110,42,31.67,75.63,62.01,3.11
494,Preili,40,LV,1574195112,96,56.29,26.72,36.79,5.68
495,Taoudenni,100,ML,1574195113,7,22.68,-3.98,64.35,5.75
496,Maku,64,IR,1574195114,48,39.29,44.45,30.6,1.36
497,Aksarka,69,RU,1574195115,76,66.56,67.8,-3.19,3.69
498,Buala,12,SB,1574195116,78,-8.15,159.59,81.63,3.62
499,Svetlogorsk,15,RU,1574195117,69,53.14,59.15,-9.4,11.18
500,Mazagao,40,BR,1574195118,74,-0.12,-51.29,86.0,11.41
501,Melbu,75,NO,1574195120,71,68.5,14.83,44.6,31.09
502,Cloquet,90,US,1574195121,95,46.72,-92.46,36.0,3.58
503,Klaksvik,100,FO,1574195122,93,62.23,-6.59,37.4,13.87
504,Cobija,40,BR,1574195123,59,-11.02,-68.77,93.2,5.82
505,Puerto Narino,75,CO,1574195124,100,-3.77,-70.38,75.2,3.36
506,Le Port,0,FR,1574195125,49,42.87,1.37,35.01,3.4
507,Mindelo,75,PT,1574195126,93,41.31,-8.72,55.0,12.75
508,Ponte de Sor,50,PT,1574195128,92,39.25,-8.01,52.0,3.0
509,Constitucion,20,MX,1574195129,31,23.99,-104.67,73.4,6.93
510,Ahar,100,IR,1574195130,95,38.48,47.07,33.04,4.65
511,Hirara,100,JP,1574195131,81,24.8,125.28,70.92,31.14
512,Callaway,90,US,1574195132,93,46.98,-95.91,44.6,3.36
513,Sudak,73,UA,1574195133,92,44.85,34.97,39.52,4.25
514,Visnes,20,NO,1574195134,62,59.36,5.22,37.99,3.36
515,Guanica,75,PR,1574195136,51,17.97,-66.91,87.01,5.82
516,Ongwediva,100,NA,1574195137,19,-17.78,15.77,80.6,3.36
517,Santa Isabel do Rio Negro,100,BR,1574195138,94,-0.41,-65.02,78.31,3.67
518,Manta,100,RO,1574195139,82,45.1,24.1,48.81,6.04
519,Jiwani,0,PK,1574195140,71,25.05,61.74,77.63,11.63
520,Llanes,100,ES,1574195142,83,43.42,-4.75,51.01,6.76
521,Kulhudhuffushi,100,MV,1574195143,75,6.62,73.07,82.56,8.84
522,Makat,100,KZ,1574195144,94,47.65,53.35,37.35,7.63
523,Elk Grove Village,90,US,1574195145,86,42.01,-87.94,41.0,4.7
524,Bam,93,IR,1574195147,31,29.11,58.36,59.18,5.5
525,Sanming,0,CN,1574195148,69,26.24,117.6,44.02,3.6
526,Chara,40,GR,1574195149,88,39.42,22.43,62.6,4.7
527,Puerto Baquerizo Moreno,40,EC,1574195150,69,-0.9,-89.6,75.2,16.11
528,Valparaiso,90,US,1574195151,75,41.47,-87.06,43.0,1.03
529,Boyabat,0,TR,1574195152,58,41.47,34.77,44.02,0.92
530,Channel-Port aux Basques,45,CA,1574195153,91,47.57,-59.14,41.76,26.26
531,Bani Walid,0,LY,1574195155,64,31.76,14.0,59.22,10.29
532,Kavaratti,4,IN,1574194987,72,10.57,72.64,82.65,3.74
533,Coos Bay,90,US,1574195157,81,43.37,-124.22,54.0,11.41
534,Pyay,0,MM,1574195158,85,18.82,95.22,67.32,3.04
535,Bajos de Haina,40,DO,1574195159,66,18.41,-70.03,87.8,11.41
536,Shingu,0,JP,1574195160,64,33.72,135.99,49.91,8.77
537,Mandurah,75,AU,1574195162,87,-32.55,115.7,59.0,12.75
538,Mocuba,19,MZ,1574195163,83,-16.84,36.99,78.03,3.02
539,Warrington,99,GB,1574195164,93,53.39,-2.59,42.8,14.99
540,Bressuire,90,FR,1574195165,100,46.84,-0.49,41.0,3.36
541,Noumea,29,NC,1574195020,60,-22.28,166.46,77.0,2.24
542,Vardo,1,US,1574195167,50,39.62,-77.74,55.4,4.7
